iter	Passed	Remaining
0	3	835
1	14	1659
2	29	2231
3	38	2146
4	52	2325
5	72	2668
6	81	2578
7	100	2751
8	106	2590
9	117	2555
10	132	2605
11	147	2661
12	167	2775
13	184	2819
14	196	2786
15	202	2683
16	213	2653
17	226	2638
18	238	2626
19	255	2654
20	262	2588
21	276	2587
22	280	2501
23	296	2522
24	313	2543
25	327	2543
26	341	2543
27	357	2551
28	378	2596
29	405	2674
30	416	2645
31	433	2658
32	446	2641
33	476	2719
34	491	2710
35	508	2709
36	520	2688
37	534	2672
38	547	2652
39	563	2650
40	581	2651
41	593	2627
42	605	2604
43	624	2611
44	638	2597
45	653	2586
46	678	2614
47	693	2600
48	710	2596
49	723	2577
50	735	2553
51	751	2543
52	773	2555
53	786	2533
54	802	2524
55	814	2501
56	830	2490
57	842	2468
58	860	2464
59	904	2532
60	936	2564
61	949	2541
62	962	2519
63	975	2498
64	995	2495
65	1013	2487
66	1030	2475
67	1046	2461
68	1070	2466
69	1088	2457
70	1107	2449
71	1124	2437
72	1138	2418
73	1146	2386
74	1162	2372
75	1178	2357
76	1192	2337
77	1207	2322
78	1226	2312
79	1244	2302
80	1258	2284
81	1275	2270
82	1290	2255
83	1312	2250
84	1334	2244
85	1348	2226
86	1368	2218
87	1392	2214
88	1407	2198
89	1420	2178
90	1434	2159
91	1448	2141
92	1460	2119
93	1471	2098
94	1489	2085
95	1514	2082
96	1537	2076
97	1551	2058
98	1568	2043
99	1584	2028
100	1600	2012
101	1615	1995
102	1628	1976
103	1638	1954
104	1650	1933
105	1666	1917
106	1698	1920
107	1714	1905
108	1739	1899
109	1757	1885
110	1767	1863
111	1782	1846
112	1798	1830
113	1812	1812
114	1829	1797
115	1859	1795
116	1875	1779
117	1894	1766
118	1913	1752
119	1944	1750
120	1990	1760
121	2033	1766
122	2050	1750
123	2068	1734
124	2089	1721
125	2105	1704
126	2122	1687
127	2139	1671
128	2157	1655
129	2181	1644
130	2193	1624
131	2205	1604
132	2215	1582
133	2228	1563
134	2239	1542
135	2251	1523
136	2266	1505
137	2280	1487
138	2298	1471
139	2313	1454
140	2328	1436
141	2339	1416
142	2353	1398
143	2366	1380
144	2382	1363
145	2401	1348
146	2417	1332
147	2435	1316
148	2493	1321
149	2533	1317
150	2609	1330
151	2638	1319
152	2658	1303
153	2672	1284
154	2688	1266
155	2703	1247
156	2715	1228
157	2730	1209
158	2754	1195
159	2771	1178
160	2794	1163
161	2845	1159
162	2901	1156
163	2940	1147
164	2970	1134
165	3012	1125
166	3040	1110
167	3069	1096
168	3107	1084
169	3160	1078
170	3193	1064
171	3231	1052
172	3269	1039
173	3325	1031
174	3352	1015
175	3375	997
176	3415	984
177	3472	975
178	3498	957
179	3527	940
180	3558	924
181	3576	903
182	3609	887
183	3628	867
184	3662	851
185	3685	832
186	3705	812
187	3723	792
188	3754	774
189	3781	756
190	3802	736
191	3828	717
192	3849	698
193	3862	676
194	3874	655
195	3885	634
196	3899	613
197	3914	593
198	3927	572
199	3939	551
200	3949	530
201	3962	510
202	3976	489
203	3992	469
204	4010	449
205	4023	429
206	4040	409
207	4057	390
208	4071	370
209	4083	350
210	4094	329
211	4108	310
212	4122	290
213	4135	270
214	4151	251
215	4165	231
216	4176	211
217	4191	192
218	4212	173
219	4233	153
220	4272	135
221	4297	116
222	4312	96
223	4353	77
224	4388	58
225	4403	38
226	4418	19
227	4433	0
