iter	F1	Logloss
0	0	0.6011651054
1	0	0.553849234
2	0	0.529970583
3	0	0.5172366828
4	0	0.5107072771
5	0	0.5054865896
6	0	0.5032912476
7	0	0.5009865895
8	0	0.5003456085
9	0	0.4933964638
10	0	0.4884300555
11	0	0.472708307
12	0	0.4681282346
13	0	0.4597388569
14	0	0.4518276902
15	0	0.4518095465
16	0	0.4487575954
17	0	0.4472555556
18	0	0.4381524349
19	0	0.4346936842
20	0	0.4346857252
21	0	0.4346812449
22	0	0.4346787734
23	0	0.433794857
24	0.1052631579	0.4245226976
25	0.186440678	0.4191621722
26	0.2580645161	0.4176400823
27	0.253968254	0.4109927803
28	0.2923076923	0.4074857935
29	0.2923076923	0.407394314
30	0.3181818182	0.4050954564
31	0.3259259259	0.4017568349
32	0.347826087	0.3945372492
33	0.3597122302	0.3929891714
34	0.3597122302	0.3913131042
35	0.3597122302	0.3900920558
36	0.347826087	0.3875988364
37	0.3623188406	0.3827977328
38	0.3714285714	0.3804169623
39	0.3714285714	0.3802851285
40	0.4	0.3784913678
41	0.4	0.3784911162
42	0.4	0.3784594661
43	0.4	0.3782597074
44	0.4109589041	0.3776282734
45	0.4109589041	0.3766102003
46	0.4217687075	0.3763343503
47	0.4324324324	0.3760708335
48	0.4324324324	0.3743840866
49	0.4353741497	0.3741537017
50	0.4353741497	0.37406494
51	0.4459459459	0.3704002008
52	0.4736842105	0.3689876064
53	0.4736842105	0.3670508807
54	0.4836601307	0.3669335773
55	0.4836601307	0.3641344571
56	0.4605263158	0.3628371432
57	0.4635761589	0.3627249056
58	0.4605263158	0.3626007146
59	0.4635761589	0.3617490388
60	0.4635761589	0.3613056976
61	0.4635761589	0.3612362713
62	0.4868421053	0.3602133748
63	0.4868421053	0.3585326397
64	0.4868421053	0.3582749286
65	0.4768211921	0.3572381201
66	0.4868421053	0.3563929569
67	0.4868421053	0.3560944866
68	0.4868421053	0.3560553089
69	0.4967320261	0.3537196124
70	0.4967320261	0.3535909948
71	0.5064935065	0.3521034972
72	0.5032258065	0.3520376697
73	0.5032258065	0.3520073385
74	0.5064935065	0.3512607095
75	0.5064935065	0.3510041686
76	0.5064935065	0.3508668133
77	0.5064935065	0.3507539289
78	0.5	0.3486442361
79	0.5	0.3484662583
80	0.5	0.3482415385
81	0.5	0.3482148655
82	0.5	0.3481346461
83	0.4967320261	0.3479444796
84	0.5064935065	0.3477525239
85	0.5064935065	0.3474036604
86	0.5098039216	0.3456504405
87	0.5098039216	0.3456393791
88	0.522875817	0.343463833
89	0.5290322581	0.3410531221
90	0.5384615385	0.3385327586
91	0.5384615385	0.3384286268
92	0.5384615385	0.3383391744
93	0.5384615385	0.3383225606
94	0.5384615385	0.3381978261
95	0.5419354839	0.3370231742
96	0.5419354839	0.3369705237
97	0.5350318471	0.3345643527
98	0.5408805031	0.3325969891
99	0.5408805031	0.3316741898
100	0.5534591195	0.3313821178
101	0.5534591195	0.3312664515
102	0.5534591195	0.3311813043
103	0.5534591195	0.3311497764
104	0.5477707006	0.3297758472
105	0.5512820513	0.3296154602
106	0.5512820513	0.3287711732
107	0.5605095541	0.3284950965
108	0.5660377358	0.3271445534
109	0.575	0.3270548358
110	0.575	0.3268779536
111	0.575	0.3266522905
112	0.575	0.3264870059
113	0.575	0.3263343287
114	0.575	0.3263074211
115	0.5625	0.3258096022
116	0.5766871166	0.3250574941
117	0.5766871166	0.3249312963
118	0.5838509317	0.3237984695
119	0.5838509317	0.3231130843
120	0.5838509317	0.3230229701
121	0.5838509317	0.3228052675
122	0.5875	0.3202868313
123	0.5732484076	0.3198239612
124	0.5732484076	0.3196511612
125	0.5732484076	0.3196493376
126	0.5732484076	0.3192329417
127	0.5732484076	0.3184862387
128	0.582278481	0.3168210914
129	0.582278481	0.3168153445
130	0.582278481	0.3166603996
131	0.5806451613	0.3156641421
132	0.5806451613	0.3156641419
133	0.5786163522	0.3153036249
134	0.5911949686	0.3142130683
135	0.582278481	0.3128956605
136	0.582278481	0.3128912955
137	0.5875	0.31134943
138	0.582278481	0.3104539782
139	0.5911949686	0.3103473296
140	0.582278481	0.309410082
141	0.5859872611	0.3092385899
142	0.582278481	0.3091581206
143	0.5859872611	0.3080832659
144	0.5859872611	0.3079986121
145	0.6075949367	0.3079231698
146	0.5859872611	0.3067357527
147	0.5911949686	0.3043107447
148	0.6037735849	0.3025810033
149	0.6037735849	0.3024356416
150	0.6086956522	0.3012230897
151	0.6	0.3010858291
152	0.6	0.3009398316
153	0.6	0.3007906105
154	0.6086956522	0.3000610856
155	0.6086956522	0.300050628
156	0.6086956522	0.2999214763
157	0.6086956522	0.2993574893
158	0.6086956522	0.2992534024
159	0.6211180124	0.2979880571
