iter	Passed	Remaining
0	190	43269
1	225	25446
2	270	20275
3	276	15459
4	281	12566
5	294	10896
6	316	10003
7	324	8913
8	341	8309
9	354	7726
10	362	7159
11	381	6871
12	407	6738
13	427	6533
14	436	6192
15	458	6077
16	475	5906
17	491	5734
18	505	5558
19	522	5428
20	537	5296
21	575	5386
22	606	5402
23	644	5478
24	670	5445
25	692	5376
26	707	5268
27	732	5232
28	753	5168
29	769	5076
30	784	4987
31	800	4902
32	814	4811
33	828	4728
34	847	4671
35	865	4618
36	891	4599
37	907	4538
38	922	4468
39	934	4393
40	956	4364
41	980	4342
42	997	4291
43	1029	4303
44	1095	4454
45	1144	4527
46	1164	4484
47	1182	4433
48	1195	4366
49	1213	4318
50	1232	4278
51	1253	4241
52	1267	4184
53	1281	4128
54	1296	4077
55	1314	4037
56	1325	3976
57	1340	3929
58	1356	3886
59	1372	3844
60	1386	3795
61	1404	3760
62	1415	3706
63	1430	3664
64	1440	3611
65	1453	3566
66	1464	3519
67	1477	3477
68	1488	3430
69	1503	3393
70	1519	3359
71	1534	3325
72	1546	3284
73	1558	3244
74	1570	3203
75	1582	3164
76	1596	3130
77	1610	3097
78	1625	3065
79	1645	3043
80	1660	3013
81	1673	2979
82	1684	2942
83	1697	2909
84	1709	2876
85	1721	2843
86	1735	2812
87	1746	2779
88	1765	2757
89	1782	2732
90	1806	2720
91	1822	2694
92	1838	2668
93	1859	2650
94	1877	2628
95	1905	2620
96	1930	2606
97	1959	2599
98	2012	2622
99	2029	2597
100	2049	2577
101	2062	2547
102	2076	2520
103	2088	2490
104	2100	2461
105	2113	2432
106	2123	2401
107	2137	2374
108	2154	2352
109	2171	2329
110	2188	2306
111	2201	2279
112	2213	2252
113	2223	2223
114	2235	2196
115	2251	2174
116	2264	2148
117	2280	2126
118	2297	2104
119	2338	2104
120	2396	2119
121	2435	2115
122	2457	2097
123	2476	2077
124	2499	2059
125	2518	2039
126	2530	2012
127	2543	1987
128	2556	1962
129	2566	1934
130	2580	1910
131	2598	1889
132	2613	1866
133	2633	1847
134	2645	1822
135	2663	1801
136	2676	1777
137	2688	1753
138	2702	1730
139	2713	1705
140	2727	1682
141	2742	1660
142	2754	1637
143	2766	1613
144	2779	1590
145	2795	1569
146	2812	1549
147	2831	1530
148	2853	1513
149	2912	1514
150	2942	1500
151	2969	1484
152	3014	1477
153	3066	1473
154	3141	1479
155	3268	1508
156	3301	1493
157	3315	1468
158	3334	1447
159	3360	1428
160	3380	1406
161	3398	1384
162	3412	1360
163	3430	1338
164	3447	1316
165	3466	1294
166	3480	1271
167	3495	1248
168	3512	1226
169	3529	1204
170	3552	1184
171	3573	1163
172	3596	1143
173	3609	1120
174	3626	1098
175	3643	1076
176	3657	1053
177	3674	1032
178	3694	1011
179	3710	989
180	3728	968
181	3751	948
182	3763	925
183	3787	905
184	3803	883
185	3815	861
186	3838	841
187	3856	820
188	3874	799
189	3892	778
190	3907	756
191	3923	735
192	3940	714
193	3963	694
194	3986	674
195	3999	653
196	4013	631
197	4033	611
198	4050	590
199	4072	570
200	4097	550
201	4121	530
202	4154	511
203	4175	491
204	4196	470
205	4218	450
206	4235	429
207	4250	408
208	4265	387
209	4286	367
210	4300	346
211	4317	325
212	4334	305
213	4347	284
214	4365	263
215	4388	243
216	4400	223
217	4416	202
218	4434	182
219	4447	161
220	4462	141
221	4475	120
222	4494	100
223	4509	80
224	4527	60
225	4547	40
226	4573	20
227	4610	0
