iter	Passed	Remaining
0	4	1055
1	19	2252
2	37	2833
3	52	2957
4	60	2682
5	73	2731
6	88	2794
7	105	2902
8	122	2974
9	155	3396
10	175	3467
11	198	3580
12	211	3489
13	224	3425
14	241	3424
15	254	3371
16	268	3333
17	282	3296
18	296	3260
19	310	3229
20	321	3171
21	334	3136
22	351	3129
23	365	3103
24	372	3022
25	387	3007
26	445	3317
27	460	3290
28	479	3287
29	494	3261
30	507	3226
31	518	3178
32	535	3162
33	550	3143
34	564	3112
35	579	3093
36	601	3102
37	624	3120
38	647	3138
39	664	3122
40	682	3113
41	697	3090
42	717	3088
43	733	3068
44	750	3054
45	766	3034
46	781	3011
47	798	2992
48	818	2988
49	838	2983
50	853	2961
51	865	2930
52	877	2896
53	898	2893
54	919	2893
55	937	2880
56	957	2872
57	971	2846
58	985	2823
59	1000	2801
60	1022	2798
61	1056	2829
62	1083	2837
63	1096	2810
64	1109	2782
65	1123	2757
66	1139	2737
67	1154	2716
68	1169	2694
69	1186	2678
70	1200	2654
71	1227	2659
72	1250	2655
73	1265	2633
74	1279	2610
75	1292	2585
76	1304	2557
77	1318	2536
78	1332	2513
79	1351	2500
80	1368	2484
81	1389	2473
82	1408	2461
83	1447	2480
84	1477	2486
85	1500	2478
86	1546	2507
87	1571	2500
88	1594	2489
89	1625	2493
90	1672	2517
91	1693	2503
92	1710	2482
93	1728	2464
94	1761	2466
95	1793	2465
96	1808	2442
97	1823	2419
98	1842	2401
99	1866	2388
100	1880	2364
101	1905	2353
102	1920	2330
103	1936	2309
104	1956	2291
105	1971	2269
106	1988	2248
107	2002	2225
108	2018	2203
109	2037	2185
110	2053	2164
111	2083	2157
112	2102	2139
113	2116	2116
114	2131	2094
115	2145	2071
116	2157	2046
117	2173	2026
118	2199	2014
119	2214	1993
120	2230	1972
121	2244	1950
122	2265	1934
123	2286	1917
124	2305	1899
125	2338	1892
126	2350	1869
127	2366	1848
128	2383	1828
129	2400	1809
130	2413	1786
131	2426	1764
132	2441	1743
133	2453	1720
134	2474	1704
135	2496	1688
136	2516	1671
137	2535	1653
138	2549	1632
139	2563	1611
140	2579	1591
141	2593	1570
142	2608	1550
143	2629	1534
144	2645	1514
145	2661	1494
146	2683	1478
147	2708	1464
148	2729	1447
149	2752	1431
150	2768	1411
151	2788	1394
152	2846	1395
153	2897	1392
154	2924	1377
155	3010	1389
156	3038	1373
157	3069	1360
158	3093	1342
159	3118	1325
160	3143	1308
161	3164	1289
162	3191	1272
163	3207	1251
164	3224	1231
165	3241	1210
166	3263	1192
167	3284	1173
168	3302	1153
169	3316	1131
170	3333	1111
171	3349	1090
172	3374	1072
173	3390	1052
174	3407	1031
175	3419	1010
176	3442	991
177	3454	970
178	3472	950
179	3494	931
180	3505	910
181	3520	889
182	3535	869
183	3550	849
184	3570	829
185	3585	809
186	3603	790
187	3619	770
188	3636	750
189	3650	730
190	3669	710
191	3685	691
192	3699	670
193	3711	650
194	3727	630
195	3742	610
196	3756	591
197	3772	571
198	3786	551
199	3807	533
200	3828	514
201	3844	494
202	3859	475
203	3877	456
204	3891	436
205	3905	417
206	3915	397
207	3936	378
208	3956	359
209	3968	340
210	3993	321
211	4006	302
212	4022	283
213	4056	265
214	4090	247
215	4108	228
216	4124	209
217	4138	189
218	4153	170
219	4169	151
220	4191	132
221	4206	113
222	4220	94
223	4238	75
224	4260	56
225	4283	37
226	4302	18
227	4321	0
