iter	F1	Logloss
0	0	0.6011651054
1	0	0.5563709922
2	0	0.5304093063
3	0	0.5177399589
4	0	0.5107807146
5	0	0.4836415399
6	0	0.4820304787
7	0	0.4725585493
8	0	0.4720913097
9	0	0.4692579482
10	0	0.4685036577
11	0	0.4469367582
12	0	0.4448945608
13	0	0.4329358956
14	0	0.4316244596
15	0	0.4309393807
16	0	0.4274379449
17	0	0.4256661517
18	0.01869158879	0.4216690449
19	0.01869158879	0.4215265955
20	0.09009009009	0.4100282961
21	0.1228070175	0.4051031655
22	0.1694915254	0.4002572993
23	0.2295081967	0.3954898804
24	0.2295081967	0.3954590123
25	0.28125	0.3903195444
26	0.3076923077	0.3878295302
27	0.347826087	0.3840783647
28	0.3333333333	0.3813052342
29	0.345323741	0.3798461849
30	0.3802816901	0.3762289905
31	0.4342105263	0.3700588737
32	0.4705882353	0.3674650637
33	0.4705882353	0.3664294088
34	0.4705882353	0.3658716373
35	0.4805194805	0.3644424826
36	0.5095541401	0.3615976718
37	0.4935064935	0.3573054039
38	0.5	0.35564187
39	0.5	0.3529714927
40	0.5487804878	0.3486993374
41	0.5487804878	0.3485534492
42	0.5662650602	0.3446495772
43	0.5644171779	0.3441947464
44	0.5903614458	0.3419006139
45	0.5939393939	0.3403893194
46	0.5903614458	0.3385566945
47	0.578313253	0.3367935461
48	0.578313253	0.3361228819
49	0.578313253	0.3352315113
50	0.578313253	0.3349638509
51	0.6024096386	0.3329697151
52	0.5952380952	0.3323593437
53	0.5903614458	0.3303312976
54	0.5903614458	0.3300587653
55	0.5853658537	0.3291910675
56	0.6	0.3270125414
57	0.5833333333	0.3244301668
58	0.6081871345	0.3219741076
59	0.6081871345	0.3216576288
60	0.6117647059	0.321203174
61	0.5917159763	0.3192222183
62	0.6	0.3173471257
63	0.6035502959	0.3171468278
64	0.6117647059	0.3164504091
65	0.6117647059	0.3161262932
66	0.6198830409	0.3159662198
67	0.6081871345	0.3155604316
68	0.6	0.3151547763
69	0.6035502959	0.314205029
70	0.6035502959	0.314204755
71	0.6071428571	0.3129784267
72	0.6107784431	0.3119356984
73	0.6107784431	0.3117703431
74	0.6272189349	0.3107762018
75	0.6272189349	0.3106971157
76	0.6272189349	0.3104528891
77	0.6272189349	0.3103626519
78	0.6272189349	0.3101905702
79	0.6272189349	0.3101504204
80	0.6272189349	0.3092447957
81	0.6272189349	0.3090033078
82	0.6272189349	0.3082958359
83	0.6272189349	0.3081635818
84	0.6352941176	0.3069870841
85	0.6352941176	0.3069811391
86	0.6352941176	0.3062762753
87	0.6315789474	0.3058616712
88	0.6352941176	0.3046041646
89	0.6352941176	0.3044794924
90	0.6315789474	0.3037766779
91	0.6235294118	0.3027048147
92	0.6315789474	0.3024670535
93	0.6272189349	0.2997767229
94	0.6153846154	0.2993459997
95	0.6153846154	0.2992645155
96	0.6153846154	0.2992020713
97	0.6153846154	0.2986381296
98	0.6153846154	0.2983682678
99	0.6153846154	0.2972974118
100	0.6153846154	0.2970540659
101	0.6153846154	0.2969937982
102	0.6272189349	0.2966807305
103	0.6235294118	0.2964826462
104	0.6272189349	0.2961177458
105	0.6272189349	0.2959144742
106	0.6272189349	0.2956845909
107	0.6272189349	0.2954753575
108	0.6272189349	0.2953932981
109	0.6352941176	0.2952211966
110	0.6352941176	0.2949811347
111	0.6315789474	0.2927923107
112	0.6315789474	0.2922987788
113	0.6315789474	0.2919359905
114	0.6395348837	0.2905025805
115	0.6395348837	0.289452916
116	0.6315789474	0.2886763322
117	0.6428571429	0.2863209567
118	0.650887574	0.2861656952
119	0.6428571429	0.2846210657
120	0.6390532544	0.2846206777
121	0.6347305389	0.2844395
122	0.630952381	0.2844388943
123	0.6272189349	0.2837593185
124	0.6352941176	0.2835347317
125	0.6352941176	0.2834758323
126	0.6352941176	0.2834737348
127	0.6352941176	0.2833547753
128	0.6272189349	0.2832972301
129	0.6272189349	0.2832938536
130	0.6272189349	0.2832654982
131	0.6352941176	0.2831803041
132	0.6432748538	0.2823405052
133	0.6432748538	0.2823249052
134	0.6432748538	0.2821649363
135	0.6432748538	0.2821172632
136	0.6511627907	0.2819512015
137	0.6511627907	0.2815331244
138	0.6432748538	0.281352928
139	0.6432748538	0.2795916006
140	0.6627906977	0.2781662789
141	0.6627906977	0.2769026809
142	0.6627906977	0.2768433465
143	0.6627906977	0.2756622745
144	0.6931818182	0.2750771177
145	0.6931818182	0.2750741731
146	0.6818181818	0.2736593357
147	0.6818181818	0.2735839263
148	0.6931818182	0.2729652726
149	0.6857142857	0.2725706433
150	0.6857142857	0.2725706313
151	0.6857142857	0.2723113217
152	0.6818181818	0.270576448
153	0.6818181818	0.2700979817
154	0.6818181818	0.2698331442
155	0.6857142857	0.2668882304
156	0.7078651685	0.2659039759
157	0.7078651685	0.2655515462
158	0.7078651685	0.2654010765
159	0.7078651685	0.2649234357
160	0.6931818182	0.2648488468
161	0.7005649718	0.2641364681
162	0.6966292135	0.2640133147
163	0.6966292135	0.263988779
164	0.6966292135	0.2639871653
165	0.6857142857	0.2637582554
166	0.6892655367	0.2629693638
167	0.6857142857	0.2609888518
168	0.6857142857	0.2591957481
169	0.6857142857	0.2591030599
170	0.6931818182	0.258984592
171	0.6931818182	0.2589605334
172	0.6931818182	0.2589523483
173	0.6931818182	0.2582804476
174	0.7150837989	0.2568710998
175	0.7150837989	0.2568485392
176	0.7005649718	0.2565869944
177	0.7005649718	0.2564850455
178	0.6971428571	0.2554534326
179	0.6971428571	0.2554060692
180	0.6971428571	0.2547147183
181	0.6971428571	0.2544349575
182	0.6971428571	0.2539840678
183	0.6931818182	0.2531587339
184	0.6931818182	0.2529419114
185	0.7005649718	0.2528063966
186	0.7005649718	0.2527815587
187	0.7005649718	0.2525318534
188	0.7005649718	0.2524550276
189	0.7005649718	0.2523767676
190	0.6931818182	0.2518522128
191	0.7005649718	0.2517266059
192	0.7005649718	0.2514084328
193	0.7005649718	0.2512339246
194	0.7005649718	0.2510698818
195	0.7005649718	0.2508636903
196	0.7005649718	0.25059058
197	0.6931818182	0.2498517293
198	0.7005649718	0.2496716418
199	0.7005649718	0.2496295233
200	0.7005649718	0.249596093
201	0.7005649718	0.2495755676
202	0.6931818182	0.2491991414
203	0.7039106145	0.2489133976
204	0.7039106145	0.2489063186
205	0.7005649718	0.248716548
206	0.6966292135	0.2481310145
207	0.6966292135	0.2479593769
208	0.7011494253	0.2464717973
209	0.7011494253	0.2464619774
210	0.7011494253	0.2464554531
211	0.7011494253	0.2463897728
212	0.7011494253	0.2463547768
213	0.7011494253	0.2463531746
214	0.7011494253	0.246346823
