iter	F1	Logloss
0	0	0.6011651054
1	0	0.5574511123
2	0	0.5327405944
3	0	0.5194776783
4	0	0.5093247525
5	0	0.5052625129
6	0	0.4966355474
7	0	0.4798157736
8	0	0.4772077106
9	0	0.4692759969
10	0	0.4635019142
11	0	0.448147871
12	0	0.4460539569
13	0	0.444516303
14	0.05454545455	0.4363807225
15	0.1052631579	0.4146119415
16	0.1217391304	0.4139461832
17	0.1379310345	0.4132619174
18	0.2148760331	0.4093825852
19	0.2	0.4089737344
20	0.256	0.4037967338
21	0.265625	0.4020566669
22	0.3597122302	0.3862555753
23	0.3829787234	0.3780029916
24	0.3829787234	0.3779962408
25	0.4166666667	0.3771339168
26	0.4166666667	0.3745840559
27	0.4246575342	0.3706454543
28	0.4459459459	0.3678289664
29	0.4736842105	0.3647282486
30	0.5222929936	0.3614719051
31	0.5341614907	0.3554688453
32	0.5432098765	0.3541895893
33	0.5432098765	0.3541029874
34	0.578313253	0.3499969187
35	0.578313253	0.3491668194
36	0.578313253	0.3486450191
37	0.578313253	0.3482403213
38	0.5696969697	0.3470966555
39	0.5696969697	0.3462762359
40	0.5521472393	0.3446461003
41	0.5521472393	0.3442656443
42	0.5609756098	0.3434680335
43	0.5521472393	0.3411490242
44	0.5696969697	0.3394273886
45	0.5731707317	0.3352634378
46	0.5731707317	0.3351691942
47	0.578313253	0.3348669548
48	0.5696969697	0.3342327679
49	0.5696969697	0.3336392628
50	0.5731707317	0.3326826579
51	0.5731707317	0.3325997372
52	0.5818181818	0.3317929786
53	0.5731707317	0.3316143596
54	0.5731707317	0.3308937
55	0.5818181818	0.3294519027
56	0.578313253	0.3286293827
57	0.5868263473	0.3270816332
58	0.5868263473	0.3266169766
59	0.6035502959	0.3223402363
60	0.6035502959	0.3209240357
61	0.6117647059	0.3204770803
62	0.6035502959	0.320196713
63	0.6035502959	0.3199524341
64	0.6035502959	0.3198951002
65	0.6071428571	0.3192835061
66	0.6071428571	0.3176556725
67	0.6071428571	0.3175529983
68	0.6071428571	0.3173693434
69	0.6071428571	0.3171109061
70	0.6071428571	0.3169609737
71	0.6071428571	0.3168049522
72	0.619047619	0.3140831324
73	0.619047619	0.3139188872
74	0.619047619	0.3134431086
75	0.619047619	0.3133542013
76	0.6107784431	0.3115335842
77	0.619047619	0.3049351198
78	0.619047619	0.3048905124
79	0.6272189349	0.3041648189
80	0.6352941176	0.3008701842
81	0.6315789474	0.3004070996
82	0.6352941176	0.3003562226
83	0.6315789474	0.299481678
84	0.6315789474	0.29946719
85	0.6315789474	0.2994254287
86	0.6315789474	0.299345142
87	0.6315789474	0.2989757146
88	0.6315789474	0.2986249765
89	0.6315789474	0.2985456516
90	0.6352941176	0.2972915953
91	0.6352941176	0.297192635
92	0.6390532544	0.2934124051
93	0.6390532544	0.292425602
94	0.6390532544	0.2923176331
95	0.6390532544	0.2921894818
96	0.6390532544	0.2921121305
97	0.6390532544	0.2920402976
98	0.6390532544	0.2920065762
99	0.6390532544	0.2909984175
100	0.6390532544	0.2900432189
101	0.6470588235	0.2888508398
102	0.6470588235	0.2879736036
103	0.6470588235	0.2851034039
104	0.6470588235	0.2821855882
105	0.6470588235	0.2815372969
106	0.6549707602	0.2809639312
107	0.6549707602	0.2809312579
108	0.6627906977	0.2799573259
109	0.6627906977	0.2778675206
110	0.6705202312	0.2777774157
111	0.6705202312	0.2776125897
112	0.6857142857	0.2744698322
113	0.6857142857	0.2741267157
114	0.6857142857	0.2740915352
115	0.6857142857	0.2736565405
116	0.6857142857	0.2736543276
117	0.6931818182	0.2729147652
118	0.6931818182	0.2703100683
119	0.6931818182	0.2701023783
120	0.7005649718	0.2696837653
121	0.6931818182	0.2695920577
122	0.7005649718	0.2693178935
123	0.7078651685	0.268765066
124	0.7005649718	0.2681680645
125	0.7005649718	0.2681639593
126	0.6931818182	0.2677984127
127	0.7078651685	0.2657945527
128	0.6931818182	0.2655366155
129	0.6857142857	0.2654043594
130	0.6931818182	0.2652588356
131	0.7005649718	0.2651045362
132	0.7005649718	0.2650584489
133	0.6931818182	0.2633701482
134	0.6931818182	0.2628807195
135	0.6820809249	0.2607542382
136	0.6781609195	0.260651593
137	0.6896551724	0.2603010983
138	0.6971428571	0.2599804102
139	0.7011494253	0.2584591998
140	0.7011494253	0.2584571957
141	0.7085714286	0.2584245692
142	0.7011494253	0.2582734519
143	0.7045454545	0.2580511418
144	0.7118644068	0.2578123675
145	0.7159090909	0.2557538064
146	0.7085714286	0.2556872282
147	0.7118644068	0.2555408946
148	0.7191011236	0.2549816818
149	0.7191011236	0.2546839792
150	0.7191011236	0.2545397419
151	0.7191011236	0.2544713446
152	0.7262569832	0.2541519495
153	0.7262569832	0.2539481718
154	0.7191011236	0.2536560825
155	0.7118644068	0.2535952721
156	0.7118644068	0.2533913705
157	0.7191011236	0.2531729101
158	0.72	0.2517570348
159	0.7272727273	0.2516792562
160	0.7272727273	0.2507296675
161	0.7272727273	0.2505223571
162	0.7344632768	0.2491850746
163	0.7272727273	0.2489639412
164	0.7272727273	0.2487208643
165	0.7272727273	0.2483938828
166	0.7374301676	0.2476167637
167	0.7415730337	0.2464898821
168	0.7415730337	0.2464742024
169	0.7415730337	0.2462792966
170	0.7415730337	0.2451068976
171	0.7415730337	0.2449872101
172	0.7415730337	0.244838194
173	0.7415730337	0.2448231958
174	0.7415730337	0.2447239467
175	0.7415730337	0.2442150535
176	0.748603352	0.2438215279
177	0.748603352	0.2436888891
178	0.7415730337	0.2434031788
179	0.7555555556	0.2423816094
180	0.748603352	0.2422775689
181	0.7415730337	0.2412941894
182	0.7415730337	0.2410767582
183	0.7555555556	0.2407103133
184	0.7555555556	0.2405507959
185	0.7597765363	0.2389574161
186	0.7624309392	0.237383579
187	0.7624309392	0.2371086531
188	0.7759562842	0.2344378092
189	0.773480663	0.2340006109
190	0.773480663	0.2338801239
191	0.773480663	0.2338423443
192	0.7777777778	0.2337519452
193	0.7802197802	0.2327063995
194	0.7802197802	0.232157789
195	0.7802197802	0.2320648586
196	0.7802197802	0.2289411933
197	0.7802197802	0.2289016234
198	0.773480663	0.2288539788
199	0.7802197802	0.2287590431
200	0.7802197802	0.2281801183
201	0.7802197802	0.2275595311
202	0.7802197802	0.2272235114
203	0.7802197802	0.2271669635
204	0.7802197802	0.22576739
205	0.7802197802	0.2255523816
206	0.7868852459	0.2252901635
207	0.7868852459	0.2251338516
208	0.7845303867	0.2248734136
209	0.7845303867	0.2247948259
210	0.7845303867	0.2245414053
211	0.7845303867	0.2244793901
212	0.7845303867	0.2240743819
213	0.7845303867	0.2233639843
214	0.7888888889	0.2229958611
215	0.7888888889	0.2227294655
216	0.7888888889	0.222701154
217	0.7845303867	0.2215642189
218	0.7845303867	0.2215401419
219	0.7845303867	0.2214761056
220	0.7845303867	0.2202030817
221	0.7845303867	0.2201411328
222	0.7845303867	0.2200237257
223	0.7845303867	0.2199772292
224	0.7845303867	0.2195314041
225	0.7845303867	0.2195070762
226	0.782122905	0.2189464979
227	0.782122905	0.2189062821
