iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.45691440342603135,0.07207113971913061,0.612541859074021,0.03817440470373293,0.6241806212637094,0.01460300171948966,0.5852377865084086,0.013737235938663408
1,0.5189640768588137,0.06472093536763451,0.7055437753857176,0.036067435769970756,0.5588977361449003,0.023968853341307637,0.48852106833981795,0.009671744350181815
2,0.5200492728449186,0.04422423590648495,0.734804191683398,0.028860992631323242,0.5221658730347867,0.026148206919467044,0.4226243331380286,0.011362664638252805
3,0.48478889213805776,0.07887471824560954,0.775272263135896,0.009402048184967753,0.5030689433451132,0.027241155402971645,0.3700612483375546,0.012774285893691891
4,0.46297264901383894,0.05579364295446082,0.7927856452956996,0.020835374676889677,0.48464552170525305,0.03254692416858743,0.32501372470411544,0.011058617068422436
5,0.43866238076764386,0.052793181966258845,0.8240918271929234,0.029197656228319036,0.4713299658534929,0.034849420616209985,0.2978971485603785,0.009639048345929498
6,0.48337866669060503,0.07818566368270911,0.8214576527766713,0.028279404466359955,0.45883603991974803,0.03614154893543234,0.2705644704247513,0.006434987245914213
7,0.4500303680791486,0.06069828999969766,0.8421342731860053,0.019070767044698397,0.4592552236129393,0.0321304480898157,0.25110768107645687,0.01285182281454101
8,0.4707439528949826,0.0367286985172748,0.8593133212072421,0.016767297134930238,0.4536140166922259,0.03555110023413012,0.22990511901498095,0.01042808042614246
9,0.46816971553813663,0.05925570308686429,0.8693054571226082,0.017949731040247746,0.44993745632824,0.03424875443776274,0.21846316331166116,0.011873192235712648
10,0.45118924945011907,0.05852124056310814,0.8781477779986867,0.020383821055247338,0.4453600759038582,0.032958762578916063,0.20855730349261398,0.012400703953674057
11,0.4578033352501437,0.06593034430116615,0.8826485605747131,0.027642437475407462,0.44646870918746523,0.0323777201101476,0.19829824593452197,0.012782052102074486
12,0.4440517440517441,0.0737706570572897,0.8949064483915595,0.02008558006033857,0.44618317912617406,0.036070148287939176,0.18815322569100143,0.012889397332925583
13,0.4416598416598417,0.04038773549311379,0.9031103071736706,0.01701488310206238,0.4465019068000669,0.040562674181268465,0.17570110140936515,0.01623712730232659
14,0.45900110636952746,0.041763642555847864,0.9132264330231562,0.020780987322765395,0.44618420578390916,0.03987739179597906,0.16792550813779905,0.01809777491877844
15,0.454534821903243,0.03711348856662441,0.9231402115523192,0.018907876343709135,0.44816266268109767,0.04223563455525268,0.16161774749780475,0.018350175695372405
16,0.45942744561939614,0.032210935469078404,0.9305781654491769,0.020795220744040565,0.4469247982033173,0.0424193338766829,0.15522526558244104,0.017532610056334618
17,0.46192298929141024,0.02777268322531482,0.9293974379686969,0.01916134474020933,0.44374481060262216,0.04548553265656045,0.14903206055238613,0.01808942584651951
18,0.4549615239441721,0.03637220967681644,0.9355530336034661,0.018925552456923733,0.4437832073061137,0.04309492125066422,0.14436724850637545,0.01771787238766462
19,0.46029324073099726,0.04761575404407124,0.9390954409168231,0.022101593593547665,0.4485514031613528,0.04546944449396324,0.13848142374982678,0.020039163616320046
20,0.4485534073769368,0.06200248027132642,0.9451425642894964,0.02091313125803002,0.44909039864161243,0.04418099244323515,0.1344162466008936,0.019656611640120492
21,0.4443109831345125,0.05797018440546346,0.9463772261793307,0.019170052243451117,0.4523486773352401,0.04902326772578168,0.12910082851291135,0.018065716358420632
22,0.4219866276717066,0.0792121536240783,0.9534250007414766,0.02202773318901573,0.45653646272363063,0.04850657638125633,0.12441177445488165,0.018918720975393665
23,0.4224355211980749,0.0795311419840339,0.9629855602836545,0.013966613025599709,0.4573292225938174,0.05278146251097396,0.11877633382805383,0.016671043625080057
24,0.4221969696969697,0.09515027865438623,0.964179705121867,0.011961389879921805,0.4620113919537164,0.05242835947959325,0.11414303020569186,0.01665869320747994
25,0.42542498152254254,0.07102576997910906,0.9664639434596527,0.013494375555922372,0.4669414382475008,0.05394195327169067,0.10872720023526083,0.017431558852430046
26,0.40056711581101834,0.04630849079782001,0.9664639434596527,0.013494375555922372,0.46741618732917833,0.05422240936122246,0.10606582137689646,0.017731563566912505
27,0.4130671158110183,0.04611674263082184,0.9687868186744591,0.01253469755423856,0.46915659338780175,0.055397878014326225,0.10180784695550756,0.01773949990191108
28,0.40496994981911544,0.03838454253816962,0.9710712695401378,0.012354006579958686,0.4718514269036499,0.05457314526921151,0.0990554350798023,0.01679009009050024
29,0.39275026722467005,0.03676500836906676,0.9744971640293368,0.011806476328068196,0.47326001277555835,0.05565651921352619,0.09517549839857815,0.016079406812651895
30,0.4109280783778632,0.049132137442881016,0.9812376688111843,0.012932049804348821,0.476220651859739,0.0550922173032539,0.09123128372986869,0.015044399118477976
31,0.42081550802139034,0.07949319161194919,0.9812376688111843,0.012932049804348821,0.4778866394916313,0.05489724586709355,0.0875043716609181,0.01313062282690848
32,0.3954717049653632,0.047513618466325576,0.9834850631571943,0.011813686833740459,0.4764226414898709,0.05605354486512905,0.08517069600982315,0.013624920506142939
33,0.4180075901328273,0.07625558929715434,0.9857437838164221,0.00926651027789831,0.4797165159792325,0.057808920386774924,0.08278042038864564,0.014325284678414674
34,0.4072549019607844,0.08499383698850436,0.987954122380352,0.00901204867411482,0.47941344780141393,0.05905513701236152,0.08066739879730825,0.013978570840989224
35,0.4258124681816078,0.07594819216735911,0.9890588978614637,0.00867824622705949,0.47768852186750876,0.06101504543604957,0.0776326170664693,0.013073438164738948
36,0.40356552713600163,0.10196089557842128,0.9912565695174391,0.009180011752168213,0.4792994485812412,0.06133041681910795,0.07438833014778472,0.013985974945678792
37,0.4150597800095649,0.08594750648018057,0.9912565695174391,0.009180011752168213,0.4795942744833018,0.060674194148074165,0.07231986094715195,0.013761218282735096
38,0.4150597800095649,0.08594750648018057,0.9923734853884533,0.007318149210380149,0.4804503025310428,0.06070684815728484,0.0703456412876867,0.013379870440369845
39,0.41725490196078435,0.08684802690337211,0.9923734853884533,0.007318149210380149,0.4814067195949752,0.06055136252355248,0.06811508395539864,0.013252619461384887
40,0.4057606490872211,0.1030277067151888,0.9923734853884533,0.007318149210380149,0.4835223890782962,0.061851706196417666,0.06628879547803145,0.013694116202314133
41,0.41923076923076924,0.06675290280484517,0.9945710928319624,0.0054347984882417676,0.4844890581324718,0.060477485812967934,0.06448431016211863,0.01416192439535781
42,0.43811965811965814,0.07396397691394296,0.9945710928319624,0.0054347984882417676,0.4858932107806405,0.06134539373657128,0.06243563541182846,0.014250641503964998
