iter	Passed	Remaining
0	9	2262
1	28	3215
2	49	3726
3	58	3299
4	63	2833
5	73	2727
6	89	2841
7	94	2599
8	103	2523
9	114	2485
10	128	2536
11	134	2420
12	146	2423
13	153	2349
14	166	2367
15	210	2791
16	224	2784
17	230	2690
18	243	2681
19	253	2637
20	267	2641
21	286	2678
22	293	2616
23	307	2616
24	325	2640
25	331	2575
26	346	2578
27	362	2589
28	373	2563
29	385	2545
30	398	2531
31	412	2524
32	423	2500
33	441	2518
34	463	2554
35	476	2542
36	489	2528
37	504	2521
38	517	2508
39	530	2492
40	548	2502
41	563	2493
42	582	2506
43	598	2501
44	615	2503
45	630	2494
46	644	2480
47	658	2469
48	680	2486
49	695	2474
50	708	2460
51	719	2435
52	733	2420
53	745	2402
54	763	2401
55	778	2391
56	796	2389
57	812	2382
58	827	2370
59	839	2350
60	857	2348
61	870	2331
62	883	2312
63	904	2317
64	921	2309
65	935	2297
66	948	2279
67	961	2262
68	976	2250
69	992	2239
70	1010	2235
71	1026	2223
72	1043	2216
73	1066	2218
74	1078	2200
75	1091	2183
76	1104	2165
77	1115	2145
78	1129	2130
79	1149	2126
80	1163	2110
81	1176	2094
82	1192	2082
83	1209	2073
84	1228	2066
85	1241	2049
86	1255	2034
87	1268	2017
88	1286	2009
89	1304	1999
90	1321	1989
91	1342	1985
92	1356	1968
93	1371	1955
94	1389	1944
95	1405	1932
96	1422	1920
97	1438	1908
98	1452	1892
99	1468	1880
100	1489	1872
101	1505	1859
102	1519	1843
103	1533	1828
104	1548	1813
105	1561	1796
106	1572	1777
107	1587	1763
108	1600	1746
109	1616	1734
110	1633	1721
111	1651	1709
112	1674	1704
113	1693	1693
114	1710	1680
115	1722	1662
116	1733	1644
117	1754	1635
118	1775	1625
119	1794	1615
120	1812	1602
121	1826	1587
122	1839	1570
123	1858	1558
124	1877	1546
125	1893	1532
126	1907	1516
127	1923	1502
128	1937	1486
129	1958	1476
130	1977	1463
131	1989	1447
132	2009	1435
133	2026	1421
134	2039	1404
135	2052	1388
136	2067	1373
137	2086	1361
138	2105	1348
139	2119	1332
140	2136	1317
141	2149	1301
142	2159	1283
143	2172	1267
144	2187	1252
145	2200	1235
146	2213	1219
147	2224	1202
148	2239	1187
149	2260	1175
150	2282	1163
151	2294	1147
152	2317	1136
153	2329	1119
154	2342	1103
155	2357	1088
156	2373	1073
157	2394	1060
158	2482	1077
159	2554	1085
160	2583	1075
161	2637	1074
162	2670	1064
163	2696	1052
164	2720	1038
165	2739	1023
166	2760	1008
167	2788	995
168	2815	982
169	2845	970
170	2864	954
171	2893	942
172	2914	926
173	2927	908
174	2946	892
175	2965	876
176	2978	858
177	2994	841
178	3014	825
179	3040	810
180	3060	794
181	3083	779
182	3096	761
183	3113	744
184	3126	726
185	3141	709
186	3155	691
187	3173	675
188	3189	658
189	3202	640
190	3218	623
191	3241	607
192	3255	590
193	3268	572
194	3287	556
195	3301	538
196	3319	522
197	3334	505
198	3346	487
199	3359	470
200	3373	453
201	3392	436
202	3413	420
203	3430	403
204	3452	387
205	3466	370
206	3481	353
207	3500	336
208	3514	319
209	3527	302
210	3548	285
211	3564	269
212	3578	252
213	3601	235
214	3615	218
215	3632	201
216	3652	185
217	3671	168
218	3686	151
219	3702	134
220	3725	118
221	3738	101
222	3751	84
223	3765	67
224	3779	50
225	3796	33
226	3813	16
227	3832	0
