iter	F1	Logloss
0	0	0.6003554113
1	0	0.5289439768
2	0	0.5073608792
3	0	0.4942842849
4	0	0.4875423796
5	0	0.4842285193
6	0	0.4699988048
7	0	0.4689322939
8	0	0.4683468619
9	0	0.4602086931
10	0	0.4489526997
11	0	0.4488750508
12	0	0.4476281751
13	0	0.4475888176
14	0	0.4278953823
15	0	0.4157649919
16	0	0.4157265355
17	0	0.4157152523
18	0	0.4088593922
19	0.1228070175	0.4030967289
20	0.1538461538	0.4026705073
21	0.1379310345	0.4023937928
22	0.1538461538	0.4023889843
23	0.1538461538	0.4019409301
24	0.218487395	0.3973362143
25	0.218487395	0.3973263275
26	0.272	0.3926147024
27	0.3731343284	0.3873719125
28	0.4172661871	0.3856589463
29	0.4172661871	0.3855658333
30	0.4697986577	0.3824003826
31	0.4936708861	0.378677453
32	0.527607362	0.3737198475
33	0.527607362	0.3735292402
34	0.527607362	0.3733968703
35	0.5421686747	0.3685632274
36	0.5411764706	0.3651651122
37	0.5389221557	0.3601646171
38	0.5421686747	0.3571146932
39	0.5421686747	0.3569823454
40	0.5389221557	0.3568284157
41	0.5454545455	0.3534519024
42	0.5454545455	0.3533757512
43	0.5398773006	0.350765134
44	0.5365853659	0.3477879344
45	0.527607362	0.3458743671
46	0.5521472393	0.3432119114
47	0.5521472393	0.3396552822
48	0.5609756098	0.3376250225
49	0.5575757576	0.3359365773
50	0.5575757576	0.3358068115
51	0.5575757576	0.3357365782
52	0.5521472393	0.3349390811
53	0.5521472393	0.3348254565
54	0.5521472393	0.3347793548
55	0.5521472393	0.3347026638
56	0.5521472393	0.3346785906
57	0.5555555556	0.3336153679
58	0.5555555556	0.3335693411
59	0.5521472393	0.3335146705
60	0.5521472393	0.3334890308
61	0.5731707317	0.3328315886
62	0.5696969697	0.3327805778
63	0.5818181818	0.3316465887
64	0.5818181818	0.3315564576
65	0.578313253	0.3304063216
66	0.5868263473	0.3299921723
67	0.5696969697	0.3278414605
68	0.5696969697	0.327484054
69	0.5696969697	0.3269871419
70	0.5696969697	0.3262722262
71	0.578313253	0.3256401864
72	0.578313253	0.325080181
73	0.578313253	0.3247974044
74	0.578313253	0.3247162525
75	0.5868263473	0.324644212
76	0.5868263473	0.3245986221
77	0.5868263473	0.324545847
78	0.5903614458	0.3239238222
79	0.5903614458	0.3227134955
80	0.5939393939	0.3225403778
81	0.5975609756	0.3222384508
82	0.5939393939	0.3217121874
83	0.5903614458	0.319290168
84	0.5939393939	0.3186404757
85	0.5939393939	0.3186234789
86	0.5939393939	0.3185774834
87	0.5903614458	0.3185545001
88	0.5988023952	0.3176705748
89	0.6024096386	0.3164856083
90	0.6024096386	0.3162411746
91	0.6107784431	0.3127501275
92	0.6071428571	0.3105908054
93	0.619047619	0.3078254841
94	0.6272189349	0.3074984753
95	0.6272189349	0.3070905037
96	0.6272189349	0.306110436
97	0.6272189349	0.3059418479
98	0.6352941176	0.3056983401
99	0.6352941176	0.3056571707
100	0.6352941176	0.3035475578
101	0.6272189349	0.3027401855
102	0.6272189349	0.3022380929
103	0.6390532544	0.2997399505
104	0.6390532544	0.2975071582
105	0.6432748538	0.2970941945
106	0.650887574	0.2958869521
107	0.650887574	0.2955517689
108	0.650887574	0.2951520287
109	0.650887574	0.2949285453
110	0.6588235294	0.293861874
111	0.6588235294	0.2937152647
112	0.6588235294	0.2930514054
113	0.6588235294	0.2930320594
114	0.6547619048	0.2916051519
115	0.6547619048	0.2912006516
116	0.6705882353	0.2886141101
117	0.6705882353	0.2876287417
118	0.6666666667	0.2865803052
119	0.6666666667	0.2855269437
120	0.6705882353	0.285133288
121	0.6705882353	0.2847706289
122	0.6744186047	0.2838468848
123	0.6744186047	0.2837233775
124	0.6744186047	0.2835415796
125	0.6860465116	0.2818965472
126	0.6823529412	0.2815483977
127	0.6626506024	0.2794391999
128	0.6586826347	0.2785888317
129	0.6586826347	0.2785634502
130	0.6586826347	0.2784653209
131	0.6586826347	0.2784452029
132	0.6586826347	0.278427213
133	0.6666666667	0.2783335288
134	0.6706586826	0.2782129973
135	0.6666666667	0.2778863289
136	0.6666666667	0.2772794796
137	0.6666666667	0.2767631791
138	0.674556213	0.2762501593
139	0.674556213	0.2757893958
140	0.6976744186	0.2745191907
141	0.701754386	0.2740624524
142	0.6941176471	0.2736629527
143	0.6863905325	0.2733069622
144	0.6900584795	0.272052864
145	0.6900584795	0.2720328809
146	0.6941176471	0.2720137933
147	0.6900584795	0.2719975838
148	0.6900584795	0.2718655526
149	0.6900584795	0.2716521736
150	0.701754386	0.2713972849
151	0.701754386	0.2712606606
152	0.701754386	0.2709531392
153	0.6976744186	0.2698072909
154	0.6976744186	0.2696123514
155	0.6976744186	0.2695860417
156	0.7052023121	0.2691997481
157	0.7052023121	0.2691982728
158	0.7052023121	0.2689660927
159	0.7209302326	0.2679759341
160	0.7134502924	0.2671962109
161	0.724137931	0.2661835402
162	0.724137931	0.2660111484
163	0.724137931	0.2654912228
164	0.7167630058	0.2651650794
165	0.7167630058	0.2649962001
166	0.7167630058	0.2648745231
167	0.724137931	0.2646856147
168	0.724137931	0.2645253844
169	0.7167630058	0.2642028423
170	0.7167630058	0.26399731
171	0.724137931	0.2633250607
172	0.7126436782	0.2621148309
173	0.7126436782	0.2619500897
174	0.7272727273	0.2599743993
175	0.7272727273	0.2593383519
176	0.7314285714	0.2592558239
177	0.724137931	0.2588605692
178	0.7314285714	0.2588393935
179	0.72	0.2586241137
180	0.724137931	0.2580773335
181	0.7314285714	0.2579388686
182	0.7314285714	0.2560658762
183	0.7314285714	0.2553818121
184	0.7314285714	0.2551349985
185	0.724137931	0.2550028527
186	0.7126436782	0.2544872207
187	0.7126436782	0.2543339166
188	0.7126436782	0.2542364245
189	0.7126436782	0.2542243505
190	0.72	0.2541872282
191	0.72	0.2541663573
192	0.72	0.2541590329
193	0.72	0.2540730845
194	0.7167630058	0.2529094188
195	0.7167630058	0.2528979838
196	0.724137931	0.2516296931
197	0.7314285714	0.2511682238
198	0.7314285714	0.2509604551
199	0.7314285714	0.2509551624
200	0.7314285714	0.2507996732
201	0.7314285714	0.2502535502
202	0.7314285714	0.250049049
203	0.724137931	0.2492041826
204	0.7314285714	0.2489873751
205	0.724137931	0.2488389179
206	0.7314285714	0.248637324
207	0.724137931	0.2479058788
208	0.724137931	0.2475368588
209	0.7314285714	0.2472326956
210	0.7314285714	0.2469744729
211	0.7314285714	0.2469306499
212	0.7314285714	0.2468664981
213	0.7314285714	0.2465171247
214	0.7314285714	0.2456065797
215	0.7386363636	0.2451335831
216	0.7386363636	0.245030769
217	0.7457627119	0.2441505456
218	0.7344632768	0.2437025543
219	0.7457627119	0.2431188764
220	0.7457627119	0.2430452488
221	0.7386363636	0.2428851969
222	0.7457627119	0.2422883705
223	0.7457627119	0.2421351673
224	0.7457627119	0.2420559383
225	0.7457627119	0.2413119601
226	0.7457627119	0.2412644138
227	0.7528089888	0.2396999458
